derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,White,Joint,0,65000,NA,665000,43,2,2,,2,5,,,2,1,2,65-74,Yes,1065,26.1,97500,78
Not Hispanic or Latino,American Indian or Alaska Native,Male,0,105000,NA,475000,39,1,2,,2,1,,,2,1,2,65-74,Yes,7129,78.82,97500,55
Not Hispanic or Latino,White,Female,1,325000,8.25,1635000,147,2,2,,2,5,,,2,2,2,>74,Yes,3236,29.26,98200,153
Ethnicity Not Available,Race Not Available,Male,1,305000,8.25,1475000,172,2,3,,2,6,,,2,1,2,35-44,No,3613,65.35,98200,147
Not Hispanic or Latino,White,Joint,1,235000,9.675,635000,238,2,2,,2,5,,,2,1,2,45-54,No,4335,62.63,119500,76
Not Hispanic or Latino,White,Male,0,645000,NA,905000,379,2,2,,2,5,,,2,1,2,55-64,No,3067,32.38,97500,98
Not Hispanic or Latino,White,Male,1,105000,8,585000,84,2,2,,2,5,,,2,1,2,65-74,Yes,5853,49.1,97500,139
Ethnicity Not Available,Race Not Available,Joint,1,435000,8.9,1365000,227,2,3,,2,6,,,2,1,2,45-54,No,7510,23.12,125600,123
Ethnicity Not Available,Race Not Available,Sex Not Available,1,2.15E+07,5.51,34855000,NA,9,4,,3,7,,,3,4,3,8888,NA,4098,38.97,83700,147
Hispanic or Latino,White,Joint,1,245000,9.05,945000,253,2,1,11,2,5,,,2,1,2,35-44,No,3540,74.27,119500,94
Hispanic or Latino,Race Not Available,Joint,0,185000,NA,945000,179,2,1,14,2,6,,,2,1,2,55-64,No,5327,68.76,98200,139
Ethnicity Not Available,Race Not Available,Male,1,75000,9.5,395000,63,2,3,,2,6,,,2,1,2,55-64,No,5099,77.82,97500,85
Ethnicity Not Available,Race Not Available,Joint,1,425000,6.125,455000,168,2,3,,2,6,,,2,2,2,35-44,No,6138,53.34,87900,121
Not Hispanic or Latino,White,Joint,0,175000,NA,1205000,190,2,2,,2,5,,,2,1,2,>74,Yes,3847,37.07,119500,152
Ethnicity Not Available,Race Not Available,Male,1,915000,8.875,1325000,803,2,3,,2,6,,,2,1,2,45-54,No,3105,21.32,125600,130
Ethnicity Not Available,Race Not Available,Female,0,175000,NA,695000,66,2,3,,2,6,,,2,2,2,55-64,No,4368,87.98,98200,93
Ethnicity Not Available,Race Not Available,Sex Not Available,1,155000,8.75,735000,127,2,3,,2,6,,,2,3,2,55-64,No,4774,87.87,98200,96
Not Hispanic or Latino,White,Joint,1,255000,8.75,2275000,208,2,2,,2,5,,,2,2,2,45-54,No,4945,27.5,98200,115
Not Hispanic or Latino,White,Male,0,25000,NA,385000,98,2,2,,2,5,,,2,1,2,45-54,No,3212,19.55,78600,52
Not Hispanic or Latino,White,Joint,1,505000,9.35,1515000,154,2,2,,2,5,,,2,1,2,65-74,Yes,3958,29.28,119500,151
Not Hispanic or Latino,White,Male,0,95000,NA,245000,21,2,2,,2,5,,,2,1,2,55-64,Yes,3085,28.72,97500,68
Not Hispanic or Latino,White,Joint,1,105000,8.25,395000,51,2,2,,2,5,,,2,1,2,>74,Yes,1839,29.42,97500,56
Not Hispanic or Latino,Race Not Available,Joint,1,845000,6.5,1055000,239,3,2,,2,6,,,2,2,2,25-34,No,4295,89.06,98200,84
Not Hispanic or Latino,White,Joint,1,195000,8.75,825000,168,2,2,,2,5,,,2,1,2,35-44,No,2733,29.78,119500,126
Hispanic or Latino,Race Not Available,Male,1,345000,8.25,1075000,213,2,1,,2,6,,,2,1,2,45-54,No,4248,81.31,98200,148
Hispanic or Latino,Race Not Available,Joint,0,85000,NA,875000,108,2,1,,2,6,,,2,2,2,55-64,No,6651,84.45,98200,104
Not Hispanic or Latino,Black or African American,Joint,0,75000,NA,875000,119,2,2,,2,3,,,2,1,2,55-64,Yes,6763,27.95,98200,197
Hispanic or Latino,Race Not Available,Female,1,375000,8.25,595000,99,2,1,11,2,6,,,2,2,2,45-54,No,7171,92.34,97500,113
Not Hispanic or Latino,White,Female,1,175000,8.25,525000,65,2,2,,2,5,,,2,2,2,65-74,Yes,2578,40.96,97500,82
Not Hispanic or Latino,White,Joint,0,305000,NA,1465000,195,2,2,,2,5,,,2,2,2,35-44,No,5796,81.66,98200,126
Not Hispanic or Latino,White,Female,1,115000,3.25,125000,73,3,2,,2,5,,,2,2,2,25-34,No,2216,29.51,78600,130
Not Hispanic or Latino,White,Female,1,525000,8.25,2305000,403,2,2,,2,5,,,2,2,2,55-64,Yes,4006,28.88,129000,97
Hispanic or Latino,Race Not Available,Joint,0,85000,NA,855000,72,2,1,,2,6,,,2,2,2,55-64,No,6651,84.45,98200,104
Ethnicity Not Available,White,Joint,0,55000,NA,655000,68,2,3,,2,5,,,2,2,2,55-64,No,1522,25.69,97500,107
Ethnicity Not Available,Race Not Available,Male,1,345000,8.75,965000,220,2,3,,2,6,,,2,1,2,45-54,No,3132,77.01,119500,106
Not Hispanic or Latino,White,Joint,1,625000,6.125,785000,188,3,2,,2,5,,,2,2,2,35-44,No,3876,32.07,128400,110
Not Hispanic or Latino,Joint,Joint,1,405000,8.25,1195000,482,2,2,,2,2,22,,2,1,2,55-64,No,3467,53.97,84000,109
Not Hispanic or Latino,White,Male,1,105000,6.375,215000,38,1,2,,2,5,,,2,1,2,>74,Yes,4245,38.59,97500,81
Ethnicity Not Available,Race Not Available,Joint,0,255000,NA,905000,169,2,3,,2,6,,,2,2,2,45-54,No,4548,69.06,98200,140
Not Hispanic or Latino,White,Joint,1,175000,9.05,485000,281,2,2,,2,5,,,2,1,2,45-54,No,5711,52.97,97500,76
Not Hispanic or Latino,Asian,Male,0,355000,NA,1755000,515,2,2,,2,2,,,2,1,2,35-44,No,3887,73.14,98200,88
Ethnicity Not Available,Race Not Available,Sex Not Available,0,75000,NA,805000,96,2,3,,2,6,,,2,3,2,45-54,No,4305,72.57,180400,71
Not Hispanic or Latino,White,Joint,1,75000,8.85,275000,111,2,2,,2,5,,,2,1,2,35-44,No,4433,43.85,97500,70
Hispanic or Latino,Race Not Available,Male,1,85000,8.75,565000,83,2,1,,2,6,,,2,1,2,35-44,No,4424,87.32,97500,88
Not Hispanic or Latino,Joint,Joint,1,255000,10.25,1105000,222,2,2,,2,2,22,,2,1,2,65-74,Yes,6157,44.52,98200,171
Ethnicity Not Available,Race Not Available,Joint,1,545000,8.6,1215000,322,2,3,,2,6,,,2,1,2,45-54,No,6027,56.73,97500,150
Not Hispanic or Latino,Asian,Joint,0,105000,NA,985000,68,2,2,,2,2,23,,2,1,2,65-74,Yes,6450,82.56,98200,113
Not Hispanic or Latino,Asian,Female,1,175000,8.75,615000,202,2,2,,2,2,21,,2,2,2,45-54,No,6727,90.92,97500,118
Not Hispanic or Latino,Asian,Joint,1,105000,8.25,1515000,194,2,2,,2,2,23,,2,1,2,55-64,No,7532,90.35,155700,85
Ethnicity Not Available,Race Not Available,Joint,1,305000,8.75,1245000,260,2,3,,2,6,,,2,1,2,55-64,No,6106,82.43,97500,153
Ethnicity Not Available,Race Not Available,Female,1,165000,8.75,985000,176,2,3,,2,6,,,2,2,2,35-44,No,8832,62.76,98200,201
Not Hispanic or Latino,White,Male,1,305000,8.3,1605000,452,2,2,,2,5,,,2,1,2,45-54,No,6845,26.59,119500,214
Not Hispanic or Latino,Black or African American,Joint,0,75000,NA,1205000,85,2,2,,2,3,,,2,1,2,>74,Yes,4084,86.88,180400,81
Hispanic or Latino,White,Female,1,105000,8.25,965000,99,2,1,,2,5,,,2,2,2,65-74,Yes,7039,55.09,98200,149
Not Hispanic or Latino,White,Female,0,155000,NA,985000,86,2,2,,2,5,,,2,2,2,>74,Yes,5489,55.16,98200,179
Ethnicity Not Available,Race Not Available,Joint,1,845000,7.5,1125000,293,2,3,,2,6,,,2,2,2,45-54,No,6719,47.73,129000,114
Not Hispanic or Latino,White,Joint,1,75000,8.75,435000,219,2,2,,2,5,,,2,1,2,65-74,Yes,4542,56.91,97500,66
Ethnicity Not Available,Race Not Available,Female,1,215000,8.6,1235000,90,2,3,,2,6,,,2,2,2,55-64,No,3190,43.01,98200,164
Not Hispanic or Latino,White,Joint,0,55000,NA,395000,137,2,2,,2,5,,,2,2,2,35-44,No,2754,49.82,78600,119
Not Hispanic or Latino,White,Male,1,205000,8.9,1045000,136,2,2,,2,5,,,2,1,2,45-54,No,4296,32.36,113700,276
Ethnicity Not Available,Race Not Available,Sex Not Available,0,375000,NA,445000,143,3,3,,2,6,,,2,3,2,35-44,No,4864,42.48,119500,124
Not Hispanic or Latino,White,Male,0,225000,NA,895000,140,2,2,,2,5,,,2,1,2,>74,Yes,5104,44.85,119500,92
Not Hispanic or Latino,White,Female,1,195000,4.375,245000,67,1,2,,2,5,,,2,2,2,55-64,No,4623,27.26,89100,60
Not Hispanic or Latino,Asian,Male,1,245000,8,1175000,147,2,2,,2,2,,,2,1,2,55-64,No,5365,87.96,98200,143
Hispanic or Latino,White,Male,0,105000,NA,705000,183,2,1,11,2,5,,,2,1,2,35-44,No,6009,98.34,119500,62
Ethnicity Not Available,Asian,Male,0,405000,NA,3675000,315,2,3,,2,5,22,,2,1,2,45-54,No,5989,32.56,98200,125
Hispanic or Latino,Race Not Available,Joint,0,255000,NA,555000,139,2,1,11,2,6,,,2,1,2,45-54,No,5662,97.02,98200,84
Ethnicity Not Available,Race Not Available,Sex Not Available,1,675000,2.875,695000,NA,9,4,,3,7,,,3,4,3,8888,NA,4712,52.46,125600,69
Ethnicity Not Available,Race Not Available,Sex Not Available,1,205000,4,285000,NA,9,4,,3,7,,,3,4,3,8888,NA,6083,91.63,84000,86
Ethnicity Not Available,Race Not Available,Joint,1,475000,8.15,2605000,247,2,3,,2,6,,,2,1,2,45-54,No,4945,27.5,98200,115
Not Hispanic or Latino,Black or African American,Female,0,655000,NA,675000,164,3,2,,2,3,,,2,2,2,35-44,No,5025,82.49,133300,72
Not Hispanic or Latino,Black or African American,Male,0,555000,NA,565000,102,3,2,,2,3,,,2,1,2,35-44,No,2654,99.06,133300,42
Hispanic or Latino,White,Female,0,175000,NA,NA,148,3,1,14,2,5,,,2,2,2,25-34,No,3084,18.55,133300,68
Not Hispanic or Latino,Black or African American,Female,0,455000,NA,NA,94,9,2,,2,3,,,2,2,2,25-34,No,6531,97.66,133300,54
Not Hispanic or Latino,Black or African American,Female,0,395000,NA,NA,242,9,2,,2,3,,,2,2,2,>74,Yes,5834,57.59,133300,78
Not Hispanic or Latino,Black or African American,Joint,0,395000,NA,NA,126,9,2,,2,3,,,2,2,2,>74,Yes,5834,57.59,133300,78
Not Hispanic or Latino,Asian,Male,0,225000,NA,NA,89,9,2,,2,2,,,2,1,2,35-44,No,5979,38.25,133300,118
Not Hispanic or Latino,Black or African American,Male,0,695000,NA,NA,190,9,2,,2,3,,,2,1,2,45-54,No,4433,82.83,135900,74
Hispanic or Latino,White,Female,0,385000,NA,NA,106,9,1,,2,5,,,2,2,2,25-34,No,4110,22.7,101900,131
Not Hispanic or Latino,White,Female,0,625000,NA,NA,86,9,2,,2,5,,,2,2,2,35-44,No,5189,98.13,133300,50
Not Hispanic or Latino,White,Female,0,465000,NA,NA,113,9,2,,2,5,,,2,2,2,25-34,No,6531,97.66,133300,54
Not Hispanic or Latino,Black or African American,Joint,0,345000,NA,NA,72,9,2,,2,3,,,2,2,2,55-64,No,4520,59.12,117400,84
Not Hispanic or Latino,Black or African American,Male,0,485000,NA,NA,89,9,2,,2,3,,,2,1,2,45-54,No,5577,98.15,133300,40
Not Hispanic or Latino,Black or African American,Female,0,405000,NA,425000,85,3,2,,2,3,,,2,2,2,35-44,No,7108,97.86,133300,42
Not Hispanic or Latino,Black or African American,Female,0,345000,NA,NA,55,9,2,,2,3,,,2,2,2,35-44,No,7787,64.53,125900,98
Not Hispanic or Latino,Black or African American,Female,0,405000,NA,415000,142,1,2,,2,3,,,2,2,2,35-44,No,6531,97.66,133300,54
Not Hispanic or Latino,White,Male,0,405000,NA,NA,105,9,2,,2,5,,,2,1,2,45-54,No,3017,71.1,133300,73
Not Hispanic or Latino,White,Male,0,165000,NA,NA,52,9,2,,2,5,,,2,1,2,<25,No,5149,98.06,133300,62
Hispanic or Latino,White,Male,0,155000,NA,NA,51,9,1,,2,5,,,2,1,2,25-34,No,7920,25.43,135900,70
Not Hispanic or Latino,White,Male,0,405000,NA,625000,105,1,2,,2,5,,,2,1,2,45-54,No,3017,71.1,133300,73
Not Hispanic or Latino,White,Male,0,675000,NA,NA,144,9,2,,2,5,,,2,1,2,<25,No,3238,58.21,101900,86
Hispanic or Latino,White,Joint,0,495000,NA,NA,145,9,1,,2,5,,,2,1,2,55-64,No,4104,66.33,133300,107
Not Hispanic or Latino,Black or African American,Male,0,295000,NA,NA,66,9,2,,2,3,,,2,1,2,25-34,No,5189,98.13,133300,50
Hispanic or Latino,White,Joint,0,445000,NA,495000,124,2,1,,2,5,,,2,1,2,55-64,Yes,4665,93.61,135900,43
Not Hispanic or Latino,White,Male,0,155000,NA,NA,45,9,2,,2,5,,,2,1,2,25-34,No,2959,78.81,101900,69
Hispanic or Latino,White,Female,0,295000,NA,NA,76,9,1,,2,5,,,2,2,2,35-44,No,6628,78.3,101900,89
Joint,Joint,Joint,0,345000,NA,NA,83,9,2,,2,3,,,2,1,2,35-44,No,6554,53.91,101900,156
Hispanic or Latino,White,Female,0,345000,NA,NA,93,9,1,,2,5,,,2,2,2,25-34,No,4869,58.31,125900,73
Not Hispanic or Latino,Asian,Joint,0,315000,NA,NA,102,9,2,,2,2,22,,2,1,2,35-44,No,5937,88.04,101900,91
Not Hispanic or Latino,Black or African American,Male,0,395000,NA,425000,146,3,2,,2,3,,,2,1,2,25-34,No,4551,98.64,133300,40
Not Hispanic or Latino,Black or African American,Male,0,545000,NA,NA,184,9,2,,2,3,,,2,1,2,25-34,No,3428,99.15,133300,66
Not Hispanic or Latino,White,Female,0,665000,NA,NA,151,9,2,,2,5,,,2,2,2,35-44,No,3304,69.67,101900,79
Not Hispanic or Latino,White,Joint,0,495000,NA,635000,170,2,2,,2,5,,,2,1,2,45-54,No,7733,53.3,125900,105
Not Hispanic or Latino,Black or African American,Joint,1,535000,7.25,545000,174,2,2,,2,3,,,2,2,2,65-74,Yes,2193,60.01,135900,84
Not Hispanic or Latino,Black or African American,Female,1,485000,7.5,545000,168,2,2,,2,3,,,2,2,2,45-54,No,4979,55.83,117400,130
Not Hispanic or Latino,Black or African American,Female,1,245000,9,395000,135,1,2,,2,3,,,2,2,2,35-44,No,4232,67.16,135900,114
Not Hispanic or Latino,Black or African American,Male,1,375000,6.625,375000,117,3,2,,2,3,,,2,1,2,25-34,No,4675,97.78,133300,68
Not Hispanic or Latino,Black or African American,Male,1,625000,6.625,775000,162,2,2,,2,3,,,2,1,2,25-34,No,5984,97.66,133300,84
Not Hispanic or Latino,White,Joint,1,485000,5.75,615000,109,2,2,,2,5,,,2,2,2,35-44,No,5898,31.33,101900,162
Not Hispanic or Latino,Black or African American,Male,0,225000,NA,NA,52,9,2,,2,3,,,2,1,2,<25,No,3957,42.78,133300,145
Not Hispanic or Latino,Black or African American,Joint,0,335000,NA,NA,104,9,2,,2,3,,,2,2,2,55-64,No,4843,22.98,117400,92
Not Hispanic or Latino,White,Female,0,565000,NA,NA,114,9,2,,2,5,,,2,2,2,35-44,No,7457,44.29,101900,139
Hispanic or Latino,White,Male,0,225000,NA,NA,86,9,1,,2,5,,,2,1,2,45-54,No,5059,40.94,101400,73
Hispanic or Latino,Black or African American,Female,0,385000,NA,395000,115,2,1,14,2,3,,,2,2,2,45-54,No,4264,29.1,117400,86
Not Hispanic or Latino,Black or African American,Joint,1,285000,7.125,295000,86,3,2,,2,3,,,2,2,2,45-54,No,4269,99.13,133300,46
Not Hispanic or Latino,White,Female,1,155000,6.625,275000,100,1,2,,2,5,,,2,2,2,45-54,No,5194,17.39,135900,91
Not Hispanic or Latino,Black or African American,Female,1,355000,6.125,355000,96,1,2,,2,3,,,2,2,2,45-54,No,4111,32.01,101400,76
Not Hispanic or Latino,Black or African American,Female,1,295000,7.625,335000,147,1,2,,2,3,,,2,2,2,55-64,No,6635,34.38,135900,91
Not Hispanic or Latino,Black or African American,Female,1,535000,6.75,545000,133,3,2,,2,3,,,2,2,2,45-54,No,5121,87.01,133300,89
Not Hispanic or Latino,Black or African American,Female,1,305000,7.625,315000,225,3,2,,2,3,,,2,2,2,65-74,Yes,5006,42.53,117400,80
Hispanic or Latino,White,Joint,1,385000,7.625,395000,179,3,1,,2,5,,,2,2,2,55-64,No,3036,37.68,135900,101
Not Hispanic or Latino,White,Male,1,375000,5.875,475000,95,1,2,,2,5,,,2,1,2,25-34,No,3548,37.6,135900,79
Not Hispanic or Latino,White,Male,1,435000,5.625,485000,91,3,2,,2,5,,,2,1,2,25-34,No,3677,91.65,101900,61
Not Hispanic or Latino,Asian,Male,1,105000,8.25,455000,69,1,2,,2,2,21,,2,1,2,65-74,Yes,7379,78.93,135900,82
Not Hispanic or Latino,Black or African American,Female,1,455000,6.5,465000,156,2,2,,2,3,,,2,2,2,55-64,No,3661,83.15,133300,78
Not Hispanic or Latino,Black or African American,Female,1,385000,7.125,645000,109,2,2,,2,3,,,2,2,2,45-54,No,6115,46.31,133300,131
Not Hispanic or Latino,White,Male,1,1065000,7.625,1325000,730,2,2,,2,5,,,2,1,2,45-54,No,4804,21.07,135900,126
Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,1,385000,7,405000,117,2,2,,2,4,44,,2,2,2,35-44,No,4988,52.61,135900,90
Not Hispanic or Latino,White,Female,1,325000,7.875,325000,74,2,2,,2,5,,,2,2,2,25-34,No,3230,16.66,133300,97
Hispanic or Latino,White,Female,1,815000,7.375,865000,232,1,1,,2,5,,,2,2,2,45-54,No,977,33.27,135900,117
Not Hispanic or Latino,Black or African American,Male,1,225000,6.625,375000,63,3,2,,2,3,,,2,1,2,55-64,No,7319,52.48,135900,78
Hispanic or Latino,White,Male,1,325000,6.99,405000,130,3,1,,2,5,,,2,1,2,25-34,No,3880,91.98,135900,57
Not Hispanic or Latino,White,Joint,1,405000,6.875,515000,111,3,2,,2,5,,,2,1,2,45-54,No,6481,38.7,133300,142
Not Hispanic or Latino,White,Joint,1,205000,6.99,645000,231,3,2,,2,5,,,2,2,2,55-64,Yes,5402,19.31,135900,127
Not Hispanic or Latino,White,Male,1,295000,6.875,315000,102,1,2,,2,5,,,2,1,2,25-34,No,6572,15.34,101900,158
Not Hispanic or Latino,White,Joint,1,195000,7.125,215000,80,3,2,,2,5,,,2,2,2,55-64,No,5723,21.39,135900,109
Not Hispanic or Latino,White,Joint,1,535000,6.5,805000,253,3,2,,2,5,,,2,1,2,25-34,No,9383,38.7,101900,253
Not Hispanic or Latino,White,Joint,1,1145000,6.5,2295000,472,2,2,,2,5,,,2,2,2,55-64,No,1933,11.95,135900,106
Not Hispanic or Latino,Black or African American,Joint,1,445000,6.25,475000,141,1,2,,2,3,,,2,2,2,65-74,Yes,4675,97.78,133300,68
Not Hispanic or Latino,Asian,Female,1,695000,6.625,995000,177,1,2,,2,2,,,2,2,2,35-44,No,3642,69.49,135900,109
Not Hispanic or Latino,White,Male,1,575000,6.625,795000,133,3,2,,2,5,,,2,1,2,35-44,No,4024,21.6,135900,155
Not Hispanic or Latino,White,Joint,1,545000,6.875,565000,225,3,2,,2,5,,,2,1,2,25-34,No,3567,15.76,135900,93
Not Hispanic or Latino,Black or African American,Male,1,735000,6.375,775000,165,2,2,,2,3,,,2,1,2,25-34,No,1607,99.44,133300,41
Not Hispanic or Latino,White,Female,1,295000,7.125,375000,80,3,2,,2,5,,,2,2,2,35-44,No,6263,40.91,101900,169
Not Hispanic or Latino,White,Joint,1,335000,6.25,355000,90,1,2,,1,5,,,1,1,1,<25,No,3402,17.11,133300,143
Not Hispanic or Latino,White,Female,1,295000,6.49,435000,71,2,2,,2,5,,,2,2,2,45-54,No,5863,66.16,135900,124
Not Hispanic or Latino,Black or African American,Female,1,425000,7,475000,110,2,2,,2,3,,,2,2,2,25-34,No,5957,71.26,133300,92
Not Hispanic or Latino,White,Joint,1,815000,7.625,865000,295,1,2,,2,5,,,2,1,2,25-34,No,7237,28.51,135900,214
Not Hispanic or Latino,White,Joint,1,105000,6.5,405000,125,3,2,,2,5,,,2,1,2,55-64,No,1867,7.02,135900,50
Joint,White,Joint,1,345000,6.25,355000,121,3,2,,2,5,,,2,1,2,25-34,No,5106,31.1,133300,88
Hispanic or Latino,White,Joint,1,385000,7.5,395000,157,3,1,,2,5,,,2,2,2,45-54,No,4710,58.03,101900,100
Not Hispanic or Latino,White,Joint,1,725000,7.49,905000,382,1,2,,2,5,,,2,1,2,35-44,No,7892,41.85,135900,90
Not Hispanic or Latino,White,Joint,1,155000,7.25,165000,242,3,2,,2,5,,,2,1,2,35-44,No,6492,17.95,101400,141
Not Hispanic or Latino,Asian,Male,1,575000,7.125,725000,132,1,2,,2,2,21,,2,1,2,35-44,No,7071,22.97,135900,154
Not Hispanic or Latino,White,Female,1,485000,6.25,805000,109,3,2,,2,5,,,2,2,2,45-54,No,8292,39.6,133300,186
Not Hispanic or Latino,Black or African American,Joint,1,355000,6,395000,88,1,2,,2,3,,,2,2,2,65-74,Yes,5775,96.17,101900,92
Not Hispanic or Latino,Black or African American,Female,1,275000,6.875,295000,99,3,2,,2,3,,,2,2,2,45-54,No,3940,98.55,133300,44
Not Hispanic or Latino,White,Male,1,905000,7.125,1205000,320,2,2,,2,5,,,2,1,2,35-44,No,5181,35.13,133300,197
Not Hispanic or Latino,White,Joint,1,725000,6.375,905000,232,1,2,,2,5,,,2,2,2,35-44,No,7265,20.72,135900,119
Not Hispanic or Latino,White,Male,1,265000,7,285000,101,3,2,,2,5,,,2,1,2,65-74,Yes,3163,29.05,135900,85
Not Hispanic or Latino,White,Female,1,555000,4.5,725000,139,3,2,,2,5,,,2,2,2,25-34,No,5932,83.92,101900,88
Not Hispanic or Latino,White,Male,1,425000,7.49,535000,141,2,2,,2,5,,,2,1,2,25-34,No,7934,27.09,135900,176
Not Hispanic or Latino,White,Joint,1,295000,6.25,305000,83,3,2,,2,5,,,2,1,2,<25,No,2989,38.41,117400,86
Not Hispanic or Latino,White,Male,1,325000,6.375,675000,107,3,2,,2,5,,,2,1,2,65-74,Yes,5669,67.38,135900,174
Not Hispanic or Latino,White,Female,1,435000,4.5,555000,138,2,2,,2,5,,,2,2,2,45-54,No,3014,83.18,101900,86
Hispanic or Latino,White,Female,1,435000,6.375,455000,112,1,1,,2,5,,,2,2,2,<25,No,4328,29.18,101900,117
Hispanic or Latino,White,Male,1,385000,6.875,505000,97,1,1,14,2,5,,,2,1,2,35-44,No,4606,84.48,101900,75
Not Hispanic or Latino,Race Not Available,Male,1,415000,7.99,435000,360,1,2,,2,6,,,2,1,2,25-34,No,6599,12.53,133300,125
Not Hispanic or Latino,Black or African American,Male,1,345000,7.49,355000,81,1,2,,2,3,,,2,1,2,65-74,Yes,4438,95.27,133300,60
Not Hispanic or Latino,Asian,Joint,1,495000,7.625,565000,175,1,2,,2,2,21,,2,1,2,25-34,No,4117,72.09,125900,87
Not Hispanic or Latino,White,Female,1,205000,7.5,255000,66,2,2,,2,5,,,2,2,2,65-74,Yes,3120,17.18,133300,111
Not Hispanic or Latino,Joint,Joint,1,185000,7.625,225000,111,1,2,,2,5,,,2,2,2,45-54,No,4869,58.31,125900,73
Hispanic or Latino,White,Female,1,705000,7.49,875000,185,1,1,14,2,5,,,2,2,2,45-54,No,8292,39.6,133300,186
Not Hispanic or Latino,White,Male,1,625000,7.49,785000,200,3,2,,2,5,,,2,1,2,45-54,No,4632,66.99,133300,100
Not Hispanic or Latino,Asian,Female,1,525000,7.5,555000,154,2,2,,2,21,,,2,2,2,25-34,No,4710,43.23,101900,146
Not Hispanic or Latino,White,Joint,1,545000,7.125,785000,380,1,2,,2,5,,,2,2,2,35-44,No,6299,22.15,133300,149
Not Hispanic or Latino,White,Female,1,255000,7.5,325000,80,3,2,,2,5,,,2,2,2,65-74,Yes,6010,9.48,135900,125
Not Hispanic or Latino,Black or African American,Male,1,515000,7.25,755000,174,3,2,,2,3,,,2,1,2,35-44,No,4656,98.75,133300,0
Not Hispanic or Latino,White,Female,1,395000,7.375,415000,112,2,2,,2,5,,,2,2,2,25-34,No,6573,16.98,135900,95
Joint,White,Joint,1,425000,7.5,555000,165,3,2,,2,5,,,2,1,2,25-34,No,5304,69.19,101900,177
Not Hispanic or Latino,Asian,Joint,1,445000,7.125,465000,141,2,2,,2,2,23,,2,1,2,35-44,No,2742,78.56,135900,112
Hispanic or Latino,White,Female,1,615000,7,645000,131,1,1,,2,5,,,2,2,2,65-74,Yes,3091,85.09,101900,128
Not Hispanic or Latino,White,Female,1,665000,6,835000,179,2,2,,2,5,,,2,2,2,35-44,No,3823,37.77,135900,84
Not Hispanic or Latino,Asian,Joint,1,495000,6.99,535000,145,1,2,,2,2,,,2,1,2,25-34,No,5658,73.58,133300,80
Not Hispanic or Latino,Black or African American,Female,1,345000,6.875,365000,115,2,2,,2,3,,,2,2,2,35-44,No,2125,99.72,133300,32
Not Hispanic or Latino,White,Female,1,365000,7.5,405000,102,3,2,,2,5,,,2,2,2,25-34,No,4261,18.89,135900,95
Not Hispanic or Latino,White,Joint,1,365000,7.5,405000,169,1,2,,2,5,,,2,2,2,65-74,Yes,3221,25.8,133300,163
Not Hispanic or Latino,White,Male,1,275000,6.5,765000,138,1,2,,2,5,,,2,1,2,45-54,No,5634,30.16,135900,111
Hispanic or Latino,White,Joint,1,435000,7.5,465000,143,1,1,,2,5,,,2,1,2,35-44,No,3966,77.28,133300,50
Hispanic or Latino,White,Joint,1,595000,7.5,635000,146,3,1,,2,5,,,2,1,2,45-54,No,2359,51.12,135900,84
Not Hispanic or Latino,White,Female,1,565000,7.5,655000,127,2,2,,2,5,,,2,2,2,35-44,No,5935,41.08,101900,108
Not Hispanic or Latino,Black or African American,Female,1,295000,7.375,325000,84,1,2,,2,3,,,2,2,2,35-44,No,4067,39.64,117400,128
Not Hispanic or Latino,White,Female,1,345000,7.125,365000,132,1,2,,2,5,,,2,2,2,25-34,No,4139,72.09,133300,69
Not Hispanic or Latino,Black or African American,Male,1,425000,7.125,455000,155,2,2,,2,3,,,2,1,2,25-34,No,1731,31.95,117800,64
Not Hispanic or Latino,White,Female,1,445000,6.75,455000,114,3,2,,2,5,,,2,2,2,25-34,No,4898,95.51,133300,74
Hispanic or Latino,White,Female,1,375000,7.25,475000,95,1,1,,2,5,,,2,2,2,<25,No,5106,31.1,133300,88
Not Hispanic or Latino,Black or African American,Joint,1,425000,7.875,435000,245,3,2,,2,3,,,2,2,2,35-44,No,7331,66.74,125900,91
Not Hispanic or Latino,Black or African American,Female,1,455000,7.375,485000,146,1,2,,2,3,,,2,2,2,35-44,No,4618,43.37,135900,92
Not Hispanic or Latino,Black or African American,Female,1,655000,7.375,755000,156,1,2,,2,3,,,2,2,2,45-54,No,5201,89.83,133300,46
